1434885151079686145,2021-09-06 14:24:13,#TráficoGT | @pmtoficialamat1 comparte la siguiente información: https://t.co/7RsSOX1lQu,2,0
1434881402668036110,2021-09-06 14:09:19,"La vista de tu próximo hogar: en un sector residencial de zona 12, ubicación perfecta.
Apartamentos de 2 y 3 dormit… https://t.co/o8tIS3RhFO",0,0
1434879937882828802,2021-09-06 14:03:30,"#EnConstruccion Invierte en un apartamento a media cuadra de Diagonal 6, z10. Apartamentos de 1, 2 y 3 dormitorios,… https://t.co/uMwMqON40A",0,0
1434878947913764865,2021-09-06 13:59:34,"Vive en un ambiente agradable en zona 11. Cuotas desde Q6,150. Apartamentos de 2 y 3 dormitorios con 2 baños y 2 pa… https://t.co/lo1sidXWow",1,1
1434860742503698436,2021-09-06 12:47:14,"Tan temprano y yo con calor de puerto!!!

#TraficoGT",0,0
1434853502178713605,2021-09-06 12:18:27,"El invierno no ha terminado ¡Cuidémonos! 
😷☔️🌧

#AVEMuniGuate #TráficoGT #JuntosLogramosMás https://t.co/PLoLNuEAET",1,0
1434851296750837761,2021-09-06 12:09:42,"Hoy, 12pm, ¡ATENTOS!... se puede llevar a cabo la mayor traición al pueblo. #TraficoGT #TransitoGT… https://t.co/35EOpS6Lyr",8,2
1434699731603755014,2021-09-06 02:07:26,#NVR | Tráfico en el Bulevar El Caminero en #Mixco tras un ataque armado que deja una persona fallecida. #TraficoGT https://t.co/O5EVjFYOuF,6,0
1434689879506669570,2021-09-06 01:28:17,Ya valí verga #traficogt Qué pasó en carretera al atlántico?,0,0
1434683966913716224,2021-09-06 01:04:47,"#Imagenes del percance registrado en ruta al Atlántico.
Este no obstaculiza la vía.

Conduzca con precaución ya que… https://t.co/sCpDs51UGv",1,4
1434675927028490241,2021-09-06 00:32:50,"Ustedes ya conocen la nuevas #VAS de #CONASA que conecta #BocaDelMonte y la #Atanasio sino, pues bienvenidos a comp… https://t.co/zO5dl0URSz",3,0
1434673497884745737,2021-09-06 00:23:11,"¿Cuál es el límite Guatemala? ¿Cuál será la gota que derrame el vaso? Una Guatemala sumida en la pobreza, en el des… https://t.co/utJ38AzOcj",4,0
1434672753672609792,2021-09-06 00:20:14,#TraficoGT Cola en Carretera al Atlántico. Ya valimos 🙃 https://t.co/IKbJ9qn4fy,9,0
1434670598131695617,2021-09-06 00:11:40,Muchas ciudades se han dado cuenta de que no pueden dar la espalda al problema de la contaminación producida por el… https://t.co/m679HNLQ5j,3,1
1434667587804311553,2021-09-05 23:59:42,"#traficoGt saliendo de la autopista Palín Escuintla en dirección a Guatemala, la app del tránsito pronostica 93 min… https://t.co/vd2n5f7Vvc",2,0
1434663587608514560,2021-09-05 23:43:48,"Siguen las lluvias al norte de Centroamérica debido al ingreso de la Onda Tropical 27

Atentos porque las lluvias s… https://t.co/5ofZFtndZU",2,1
1434661300899090434,2021-09-05 23:34:43,"@BVoluntariosGT Por eso es que vengo haciendo cola como para entrar a ""ay Carmela"" @traficogt #TraficoGT https://t.co/n5uAWlt7G4",3,0
1434611617413615620,2021-09-05 20:17:18,"#NuevoNormal | En Anillo Periférico y 4ª avenida de zona 12 capitalina, se registra accidente de tránsito; vehículo… https://t.co/xvcd6DtBB8",0,0
1434611064277278720,2021-09-05 20:15:06,"Accidente de tránsito en Anillo Periférico y 4 avenida zona 12, @BVoluntariosGT trasladaron a dos personas con golp… https://t.co/Wzpw01agQq",1,1
1434578793830699011,2021-09-05 18:06:52,"Ya están reunidas las ratas del @CongresoGuate... Siguen empecinados en que sean 3 ""lecturas"" y esto ya huele ¡FEO,… https://t.co/ssxwot8u1N",2,0
1434569481246883843,2021-09-05 17:29:51,¿Que sucedió en Boca del Monte? Tercer día y el tráfico es insoportable acá en la Hincapié. #TraficoGT @PMTVILLACANALES,0,0
1434561211891388417,2021-09-05 16:57:00,"⚠️A TODOS NUESTROS USUARIOS⚠️
Domingo 5 de septiembre de 2021.
  
Debido a trabajos de mantenimiento. 

LÍNEA 18
Se… https://t.co/ZFguKdchcD",2,0
1434560671002341376,2021-09-05 16:54:51,"Personal del #EEMQ trabajando en el mantenimiento programa de hoy domingo.
#26televisión #Quetzaltenango… https://t.co/VmGqsp8OgL",2,1
1434543880121245700,2021-09-05 15:48:08,Esas joyitas que Uno se topa en el #TraficoGT https://t.co/JwPY83yt9x,22,1
1434543305178689538,2021-09-05 15:45:51,#muxbal #TraficoGT https://t.co/wnzGIRtjTa,1,0
1434345869424398342,2021-09-05 02:41:18,Tráfico hoy en calz. Roosevelt 😉 #TraficoGT https://t.co/ae4YPnulaW,2,0
1434341255585148928,2021-09-05 02:22:58,"El toque de queda ha iniciado y en Mixco también tienen problemas en la movilidad, específicamente en km 19 carrete… https://t.co/XJSM4cchBJ",2,0
1434341025854677001,2021-09-05 02:22:03,"Toque de queda dicen 

¿Adivinen quien acaba de llegar a su casa?

#TraficoGT es un caos 🙄",15,0
1434339970332962819,2021-09-05 02:17:52,"Casi que llegando así a casa... 
#Safe #TraficoGT https://t.co/72w7KBTq8N",3,0
1434339274699194369,2021-09-05 02:15:06,Y qué harán con este #TraficoGT ❓#ToqueDeQueda #NoAlEstadoDeCalamidad #FueraGiammattei https://t.co/kDs31eyOOe,2,0
1434337349924704257,2021-09-05 02:07:27,#Guatemala el país del eterno estado de calamidad #ToqueDeQueda #EstadoDeCalamidad #TraficoGT #ATENCION https://t.co/LiT0Z7k7Rd,14,3
1434335901748973572,2021-09-05 02:01:42,"- ¿Eres Santa Catarina Pinula?
- No.
- ¿Y esa colota? #TraficoGT https://t.co/XF0VyO7e1C",5,1
1434333316090564608,2021-09-05 01:51:25,"Según @WazeGT hay tráfico pesado en la Calzada Roosevelt y la Calzada San Juan, además de problemas en la Avenida P… https://t.co/uxzE2BI1mb",9,3
1434332957578350601,2021-09-05 01:50:00,A pocos minutos que inicie el #toquedequeda aún se ven varios vehículos en la ciudad de #Quetzaltenango… https://t.co/9KDmdVXLGe,1,1
1434332888619700229,2021-09-05 01:49:43,"Que bueno que no iba tan lejos.
#TraficoGT https://t.co/Nelrm6I7MH",3,0
1434328401247182848,2021-09-05 01:31:54,¿Y cómo va el #TráficoGT a 30 minutos de que inicie el #ToqueDeQuedaGT? 🤔,0,0
1434327950334341120,2021-09-05 01:30:06,"#TraficoGT 

A media hora del #ToqueDeQueda la gente atascada sin poder avanzar en Calle Martí y con el waze indica… https://t.co/FAm9SbhsFR",22,9
1434325889689473030,2021-09-05 01:21:55,"No te olvides:  a partir de las 20 hrs. de hoy inician las restricciones de movilidad. 

#TráficoGt 
#COVID19… https://t.co/v7aG65LDGn",4,0
1434322268293844993,2021-09-05 01:07:31,"Por cierto, si van rumbo a carretera al Atlántico, ya valieron gaver porque hay un accidente en el puente Belice. #traficogt",4,2
1434317086000566272,2021-09-05 00:46:56,🔴 #TráficoGT | Así la situación del tránsito en Bouganvilias rumbo a #Zona18  a casi ⏰ 1:20 de que inicie… https://t.co/SFxffutsum,11,1
1434288072653516801,2021-09-04 22:51:38,"Comunicado @MuniGuate

#TransitoGT #TraficoGT #AlcaldeQuiñónez #MuniGuate #Prevencion #CoronaVirusGT #Covid19GT… https://t.co/JYm2dyGpvt",14,8
1434279148772528136,2021-09-04 22:16:11,"Precaución viajeros 
Km 151 puente y río Ixtacapa San Antonio Suchitepequez

Río cubriendo el puente 📄✍️… https://t.co/q9xo88B6ij",4,2
1434258786542395398,2021-09-04 20:55:16,"Actualización de reporte de Caída de Rayos en Guatemala 🇬🇹

Se detecta actividad eléctrica a ésta hora en San Marco… https://t.co/mOAmOYmuId",1,0
1434251511262072846,2021-09-04 20:26:22,"⚠️A TODOS NUESTROS USUARIOS⚠️
Sábado 4 de septiembre de 2021.
  
Debido a manifestación. 

LÍNEA 1
Se deshabilitan… https://t.co/chqPkTYT7U",4,2
1434250900600729606,2021-09-04 20:23:56,"⚠️A TODOS NUESTROS USUARIOS⚠️
Sábado 4 de septiembre de 2021.
  
Debido al tráfico en la zona. 

LÍNEA 6
Se deshabi… https://t.co/lAaM6j9LC2",2,1
1434250298755780608,2021-09-04 20:21:32,El tráfico para carretera al Atlántico está del asco inmovilizado desde el kilómetro 8 más o menos y ya casi llegan… https://t.co/kb0vF1ZoTX,1,0
1434241988929458178,2021-09-04 19:48:31,La #munivillacanales cometió un error al ceder la vía de salida a la #Vas ahora el #TraficoGT en #Bocadelmonte está… https://t.co/cpmrKgYxee,0,0
1434237396955115526,2021-09-04 19:30:16,#TraficoGT https://t.co/RD0UJb5EVl,0,0
1434234220000563201,2021-09-04 19:17:39,"Reporte de Caída de Rayos en Guatemala 🇬🇹
Sábado 4 de septiembre
13hrs
Efectos de Baja Presión al norte de Petén, a… https://t.co/75ZtTqODEN",0,1
1434233778076102659,2021-09-04 19:15:54,"Con esta lluvia con granizo, solo esperando a que colapse la ciudad del futuro.

#Traficogt",2,0
